coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,True,False,True,0,False,False,False,False,True,True,True,0,True,True,True,False,da8b1ea9e05f6a22b002baef15b0576535d7054c1ffa85dd58e4af07d76b3a58,0.9423613082918552
False,True,True,False,False,False,False,False,False,False,0,18,False,False,0,0,0,6,True,True,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,False,da5c82c47e4e920a05b950df524b3f676d61c4dc0cbeb5722adebbb37ec9f090,0.9432041164862924
False,True,True,False,False,False,False,True,False,False,0,18,False,False,0,0,0,6,False,True,False,False,True,True,0,False,False,False,False,False,False,False,0,False,False,False,False,d9d3ecf02e9ee292ab0cdca87255f962a7c7d3771a634afcefa5b4f2aeb70ff8,0.979165479102908
False,True,True,False,False,False,False,True,False,False,0,24,False,False,0,0,0,6,True,True,False,False,True,False,0,False,False,False,False,False,False,False,0,False,False,False,False,d91412cbaaef954c2dc322db7360a2fcce700fb883d42b237eabd8b863cf4887,0.9906175411684256
False,True,True,False,False,True,False,True,False,False,0,24,False,False,0,0,0,6,True,False,False,False,False,False,0,False,False,False,False,True,False,False,0,False,False,False,False,d8fbe76a93a5cd9e79153e071206d303432af453aab6a5c025af188a45681e25,0.9641003346312432
False,True,False,False,True,False,False,False,False,False,0,6,False,False,0,0,0,6,True,True,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,False,d8f9f3216170ceb7c35ea6ffda2d3944bddc34949c6706ddbf16df4a9dc93bdb,0.8759165539007768
False,True,True,False,False,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,False,True,True,True,0,False,True,False,False,False,True,False,0,True,True,True,False,d760046a241d31861d871118b8035f3df1168383447e404b10e6ca775e38590d,0.9588491386359556
False,True,True,False,False,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,True,0,False,False,False,False,d53771f5c194075e9f33abee0e0d04a2a7988517f375b1fd3053ec9067a3c14f,0.8051746493931552
False,True,False,False,True,False,False,False,False,False,0,24,True,False,0,0,0,6,False,True,True,True,False,False,0,False,True,False,False,True,True,False,0,True,True,False,False,d4ffe60d44d9c7eb5d8b057bd8fe02e7b225a1e13c7cb3f0cbcd6d2cef9f35db,0.8369211651839077
False,True,True,False,False,True,False,True,False,False,0,24,True,False,0,0,0,6,False,False,True,True,False,False,0,True,False,False,False,False,True,False,0,True,True,False,False,d4ee472a73605e4546a4998800f842f55ba0bce030d2cef2407437c96442425b,0.8510365453726434
False,True,True,False,False,True,False,False,False,False,0,18,True,False,0,0,0,6,False,False,True,True,False,False,0,False,False,False,False,True,True,True,0,True,True,False,False,d4ca84f670d45643d34643b97f602aaa87e3cffa58e5395d8e83b3aa707c5bed,0.8387783866382801
False,False,True,False,False,True,False,True,False,False,0,0,True,False,0,0,0,6,False,False,False,False,False,False,0,False,False,False,False,True,False,False,0,False,False,False,False,d4714f0f324072e5fb4cb8cd559e4c324ac788e13fb774d423a7ae6d207e4750,0.7091928293635789
False,True,False,False,True,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,True,True,True,True,0,False,False,False,False,False,True,True,0,True,True,False,False,d449ff121225bfe4c05a7152dca6e91d8f8191f454b08890eda24e9f0dc16709,0.9828151505793652
False,True,False,False,True,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,False,False,False,0,True,True,False,False,False,False,False,0,False,False,False,False,d41c92ca051eaaed9e3f0d2fbaf9fd6762eece9359e23a1073029e505dc2a191,0.8338339859607019
False,True,True,False,False,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,True,True,False,False,0,False,True,False,False,True,True,False,0,True,True,False,False,d413627d167805e8ed35b4b217a1b948180bddff157187284625700bdf8670ee,0.8294777251916617
False,False,False,False,True,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,True,0,False,False,False,False,d3edca97096cecef2cb6368db4d458b16210cd078b278b2702910cc8bd0797ba,0.7146659031558898
False,True,True,False,False,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,d2cd4a0a3a85f525e039ec23b63a34f4c4b7a7c4221c4a7982ac6c6dbef62140,0.7844085144270757
False,True,True,False,False,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,False,d219bb24e94910d92953e0a3b942103db2e1b516d01b7befa6d976e8827a3255,0.8266632335412737
False,True,True,False,False,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,True,True,False,False,0,True,False,False,False,False,True,True,0,True,True,False,False,d15358f25d641113072ad55454ca7adf11c2a1e9f4d8f51ce802d976fac4dcba,0.8050776709271421
False,True,False,True,True,False,False,True,False,False,0,18,False,False,0,0,0,6,False,True,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,d0ba71afad003e2e24fc3701f859bac71fdf7e44dc9725bb7979e559b8262f60,0.9398306085761436
False,True,False,False,True,True,False,True,False,False,0,6,False,False,0,0,0,6,True,False,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,d0b1d7f1045ffbe96ac36d3a1c9f42faf56976816788bb800c9a9b16af4114d6,0.9039362833716006
False,True,False,False,True,False,False,True,False,False,0,6,False,False,0,0,0,6,False,True,True,True,True,True,0,False,False,False,False,False,True,False,0,True,True,False,False,d0212610ca2d8ff971b87f63642381a59ff061e6105acebd312788ce2567a371,0.87896148185852
False,True,True,False,False,True,False,False,False,False,0,6,False,False,0,0,0,6,False,False,False,False,False,True,0,True,True,False,False,False,False,False,0,False,False,False,False,ce6454d7c8bf4984dec4d16cfa16528486b8ca4d8a304af273bad43e28456068,0.8999144524219957
False,True,False,False,True,True,False,True,False,False,0,6,False,False,0,0,0,6,True,False,True,True,False,False,0,False,False,False,False,True,True,False,0,True,True,False,False,cdfa92607320f58e0c73ec0546188ef8a22b95c48eda6f8a9a8f0adcef4dfbb8,0.8733614275214029
False,True,False,True,True,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,False,cb3eeba645a0ab2d7954eaf19159069ee45ec9101e0e593b822803e2dc7505d4,0.9510862866061884
False,True,True,False,False,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,True,True,False,True,0,False,False,False,False,True,True,True,0,True,True,False,False,c862ce160c5978e23287bf8adb19708e44cd9bf580588bfc01a6be7dc7d5fe34,0.9709414969362858
False,True,True,False,False,False,False,False,False,False,0,24,False,False,0,0,0,6,False,True,False,True,False,True,0,False,True,False,False,True,True,False,0,True,True,True,False,c3c520e2c2781f0e10728b82df5d0e3f5d6c65bf592a12e9e2c2f9714ac64760,0.9336754954842668
False,True,False,False,True,True,False,True,False,False,0,18,True,False,0,0,0,6,False,False,False,True,True,False,0,False,False,False,False,False,True,False,0,True,True,True,False,c307b7beeb3dad50ab62b5026222264b45665b5a01fdc115810e69af2ccb08fc,0.8457229051742005
False,True,False,False,True,False,False,True,False,False,0,24,False,False,0,0,0,6,False,True,False,False,False,True,0,False,False,False,False,True,False,False,0,False,False,False,False,c2f16c4ef6e5dd52af1c8b876f4a460273f0f4c902055672c5ff63275074ea4c,0.9653126958719728
False,True,False,True,True,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,c248f27e75e29d7560e6065313c46870cd698aeca0484a371b8f91e7cb705cda,0.9679882938609145
False,True,False,False,True,True,False,False,False,False,0,6,False,False,0,0,0,6,True,False,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,c139e5ee9f94db7d7984a2cc03f4de53fca7a12e765f7537debdf6dfdf975dea,0.8730384189524777
False,True,False,False,True,True,False,True,False,False,0,24,True,False,0,0,0,6,False,False,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,c0ecc1a5512f029501916b781992e1fc81432068f99f5023ddfbbe6dfdec8193,0.8472048301100498
False,True,True,False,False,False,False,True,False,False,0,6,False,False,0,0,0,6,True,True,True,True,True,False,0,False,False,False,False,False,True,False,0,True,True,False,False,c06057dcb5e07481b745968b93b4db5b6bd56621fbe11d001227ca41cbf6a132,0.8772337567400862
